tier,code,cycle,where,message
ADVISORY,A-BIOLIST-FILEFORM,Cycle 16,BioAsList!F35,"Wk 32 'Cell Differentiation and Gene Expression' VT link is a Drive file link, not presentation/d — cannot be /copy distributed: https://drive.google.com/file/d/158ZrxKmAsLWB7OnAP6b5_8gKGLkGSI_d/view"
ADVISORY,A-BIOLIST-VT-DRIFT,Cycle 16,BioAsList!F35/K35,Wk 32 'Cell Differentiation and Gene Expression': visible VT link (158ZrxKmAsLWB7OnAP6b5_8gKGLkGSI_d) and the _vtURL helper column (19AHpmEJe_gWG2gOrUrCeZk5V_lvxOK8f) name different decks
ADVISORY,A-BIOLIST-ORPHAN,Cycle 16,BioAsList!F35,"Wk 32 'Cell Differentiation and Gene Expression' points at deck 158ZrxKmAsLWB7OnAP6b5_8gKGLkGSI_d, which the dated Biology tab never uses"
ADVISORY,A-BIOLIST-FILEFORM,Cycle 17,BioAsList!F36,"Wk 33 'Darwin and the Development of a Theory' VT link is a Drive file link, not presentation/d — cannot be /copy distributed: https://drive.google.com/file/d/158ZrxKmAsLWB7OnAP6b5_8gKGLkGSI_d/view"
ADVISORY,A-BIOLIST-VT-DRIFT,Cycle 17,BioAsList!F36/K36,Wk 33 'Darwin and the Development of a Theory': visible VT link (158ZrxKmAsLWB7OnAP6b5_8gKGLkGSI_d) and the _vtURL helper column (19AHpmEJe_gWG2gOrUrCeZk5V_lvxOK8f) name different decks
ADVISORY,A-BIOLIST-ORPHAN,Cycle 17,BioAsList!F36,"Wk 33 'Darwin and the Development of a Theory' points at deck 158ZrxKmAsLWB7OnAP6b5_8gKGLkGSI_d, which the dated Biology tab never uses"
ADVISORY,A-BIOLIST-ORPHAN,Cycle 17,BioAsList!F37,"Wk 34 'Using Fossil Evidence to Investigate Whale Evolution' points at deck 1nOmkJjqw2hPTb_4TQplvWtt8kbMPFtQvlgJ-ej0p-lI, which the dated Biology tab never uses"
ADVISORY,A-BIOLIST-ORPHAN,Cycle 18,BioAsList!F38,"Wk 35 'Natural Selection' points at deck 1dOCoNeD99kcN9U89FfNee3KKkJw-8bJsxXE9HGQkgl4, which the dated Biology tab never uses"
ADVISORY,A-BIOLIST-FILEFORM,Cycle 18,BioAsList!F39,"Wk 36 'The Genetic Basis of Adaptation' VT link is a Drive file link, not presentation/d — cannot be /copy distributed: https://drive.google.com/file/d/1a17iweYkbESLbbebVQ-3hoF3eMvnj5vn/view"
ADVISORY,A-BIOLIST-VT-DRIFT,Cycle 18,BioAsList!F39/K39,Wk 36 'The Genetic Basis of Adaptation': visible VT link (1a17iweYkbESLbbebVQ-3hoF3eMvnj5vn) and the _vtURL helper column (1RBHGbts0EJNNXoK5E_tC6a45c0bM6G8P) name different decks
ADVISORY,A-BIOLIST-ORPHAN,Cycle 18,BioAsList!F39,"Wk 36 'The Genetic Basis of Adaptation' points at deck 1a17iweYkbESLbbebVQ-3hoF3eMvnj5vn, which the dated Biology tab never uses"
ADVISORY,A-BIOLIST-FILEFORM,Cycle 19,BioAsList!F40,"Wk 37 'The Processes and Outcomes of Evolution' VT link is a Drive file link, not presentation/d — cannot be /copy distributed: https://drive.google.com/file/d/1a17iweYkbESLbbebVQ-3hoF3eMvnj5vn/view"
ADVISORY,A-BIOLIST-ORPHAN,Cycle 19,BioAsList!F40,"Wk 37 'The Processes and Outcomes of Evolution' points at deck 1a17iweYkbESLbbebVQ-3hoF3eMvnj5vn, which the dated Biology tab never uses"
ADVISORY,A-BIOLIST-FILEFORM,Cycle 20,BioAsList!F41,"Wk 38 'Human Impact (Capstone)' VT link is a Drive file link, not presentation/d — cannot be /copy distributed: https://drive.google.com/file/d/1RBHGbts0EJNNXoK5E_tC6a45c0bM6G8P/view"
